,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
28-Dec,8,NA,NA,11.5,31.3,12.7,4.8,NA,22.3,1.7,1.3,16.6,7.1,21.4,4.1,NA,4.5,33.3,0.6,4.4,4.7,6.8,0.4,10.1,2.4,1,2.7,3,16.6,1.6,2.8,2,9,4.9,0.4,4.9,8.9,2.8,7.6,0.8,1.8,9.4,1,0.3,1.7,12.3,2.2,1.6,1.7,1.3,6.4,0.2
29-Dec,9.6,NA,NA,11.4,33.1,13.6,5.9,NA,24.9,1.8,1.6,18.5,8.9,22.7,4.1,NA,5.4,34.1,0.9,3.9,4.9,8.8,0.5,10.7,2.5,1,3.3,3.6,18.4,1.7,3,1.7,8.7,4.3,0.5,5.1,7.6,3.6,8.2,1.5,2.6,9.5,1.1,0.4,3.5,16.4,2.4,1.7,2,1.3,4.8,0.2
30-Dec,10.1,NA,NA,9.1,34.8,14.2,7,NA,27.7,2.5,1.9,20.4,10.1,23.5,3.6,NA,6.2,33.8,1.1,3.4,5.2,10.6,0.6,10.9,4.5,1,3.5,4.3,20.1,1.7,3.2,1.9,8.3,4.5,0.5,4.9,8.6,5,8.3,1.8,2.5,10,1.8,0.4,4,14.4,3.2,1.3,2.2,1.8,3.9,0.2
31-Dec,10.6,5.5,NA,9.3,36.7,14.7,8.1,NA,30.4,3,2.2,22.4,11.3,24.2,3,NA,6.7,33.5,1.5,3.8,5,12.5,0.6,11,6.5,2.1,3.7,4.9,21.7,1.7,3.6,2,7.5,4.8,0.5,4.8,9.8,5.7,7.6,1.9,2.7,16.1,2.7,0.6,3.8,18.1,3.7,1.3,1.7,2,4.1,0.2
1-Jan,11.1,9.7,NA,9.3,38,15.3,9.2,NA,32.9,3.5,2.5,24.3,12.5,25,2.5,NA,7.2,33.2,1.8,3.8,4.9,14.5,0.6,11.2,8.5,3,4,4.8,23.2,2.7,3.9,2.1,6.8,4.9,0.6,5.2,10.4,6.6,6.7,1.8,2.3,19.6,5.4,0.7,4.2,19.3,3.9,1.5,2.8,2.3,4.1,0.4
2-Jan,11.5,12.4,1.6,9.4,39.4,15.9,13.6,5.9,35.6,4,2.8,26.3,13.6,25.8,2.5,NA,8.4,33.4,2.1,3.6,4.6,16.3,0.6,11.8,8.1,4,5.5,4.6,22.9,3.5,4.2,2.1,6,5.1,0.5,5.9,11.7,7.8,6,1.5,2.9,26,5.6,0.6,5.2,20.3,5.3,1.5,2.8,2.3,3.8,0.4
3-Jan,13.9,15.4,1.9,9.5,40.8,16.4,16.3,6.2,38.2,4.5,3.1,28.2,14.8,26.5,2,2.6,9.7,33.7,2.1,3.5,4.1,18.3,1.5,12.4,7.6,3.6,7,4.4,22.2,4.4,5.2,2.2,5,4.7,0.5,6.2,13.4,9.6,6.2,3.5,4,35.4,6.8,0.6,5.1,22.2,5.3,1.7,2.3,5.2,3.5,0.3
4-Jan,15.6,18.1,2.1,9.6,42.1,16.8,19.2,6.1,41,4.9,2.9,27.3,16,27.2,3.1,8.3,10.9,32.9,2.1,3.3,4.5,19.1,2.3,16.4,7.1,3.2,8.5,4.3,21.6,4.3,6.2,2,6.5,4.3,0.4,5.8,14.2,10.5,7.1,3.1,3.5,27.6,8.5,0.7,4.4,21.6,3.7,1.4,2.3,3.5,3.5,0.4
5-Jan,18,21.1,2.3,9.6,43.4,18.2,22,6.1,43.6,7.7,2.7,26.4,17.1,26.5,3.1,12.3,12.4,32.1,3.1,2.9,5.2,19.7,3,20.3,6.7,2.8,10,4.5,22,4.3,7.2,2.1,7.9,3.7,0.4,5.6,15.5,11.6,6.2,3,4.1,22.2,8.2,1.1,3,28,3,1.3,2,3.4,3,0.7
6-Jan,20.4,23.7,2.5,9.2,44.6,19.1,24.9,6.2,46.3,9.7,2.6,25.4,18.6,25.6,2.7,16.4,13.8,32.5,9.6,3.2,5.9,21.1,3.8,22.5,6.7,2.4,11.9,4.6,22.5,4.1,8.2,5,9.2,4.5,0.4,5,15.9,12.1,9.4,2.7,4.5,23.6,10.7,1.8,3,29.5,3.1,1.3,2.1,4,3.1,1
7-Jan,22.7,26.8,2.8,14.5,47.6,20,27.7,6.2,48.9,11.7,2.4,24.5,19.6,24.6,2.3,20.3,14.9,32.6,11.9,3.5,6.8,22.5,4.3,24.8,6.8,2.2,13.8,4.7,22.9,4,7.7,8.3,9.3,5.1,0.3,4.5,17.1,12.9,8.6,2.2,3.4,31.4,11.5,2.2,3.1,29.2,3.1,1.5,2,7.1,3.1,1.1
8-Jan,24.5,29.4,2.9,16.8,49.8,20.9,30.6,6.1,48.9,13.6,2.2,23.6,20.6,23.6,2,24.4,15.9,32.6,13.6,3.9,7.5,24,4.7,27.1,6.8,2.1,15.8,4.8,23,4.6,7.2,11.3,9.5,5.7,0.3,4.3,17.6,12.8,9.6,2.3,2.7,38.6,13.9,2.1,2.8,26.4,3.1,1.8,2.8,9.8,3.4,1.7
